기온(C),풍속(m/s),습도(%),전력소비량(kWh)
26.8,1.3,80.0,2208.0
27.1,2.2,79.0,2874.24
27.9,0.8,78.0,3309.6
29.4,1.1,75.0,4425.12
30.4,1.0,71.0,5063.52
31.6,1.1,67.0,4653.6
32.0,1.7,66.0,4664.64
31.5,3.3,72.0,4608.0
32.4,3.0,63.0,4505.76
32.9,0.9,62.0,4477.92
31.8,2.3,69.0,3856.8
30.8,3.6,70.0,3073.44
29.7,2.4,75.0,2884.8
29.4,2.0,74.0,2706.24
29.1,1.0,74.0,2301.6
28.8,1.3,77.0,1610.88
28.2,1.1,79.0,2136.96
27.8,2.0,79.0,2094.72
27.5,1.9,80.0,2015.52
27.3,1.8,81.0,1910.88
26.9,1.5,82.0,1857.6
26.5,1.0,83.0,1839.84
26.3,2.1,84.0,1992.0
26.3,2.7,86.0,2363.04
26.9,2.6,84.0,3109.44
27.7,1.8,82.0,3137.76
28.8,1.7,79.0,3800.64
29.2,2.2,77.0,4679.04
29.9,1.6,74.0,4780.8
30.5,2.3,71.0,4725.12
31.1,2.2,72.0,4744.32
31.7,1.8,69.0,4709.28
32.6,2.4,64.0,4848.0
32.8,3.0,63.0,4881.6
33.2,2.1,62.0,4372.32
32.9,2.4,63.0,2941.44
32.4,2.4,64.0,2768.16
31.8,2.6,67.0,2527.2
31.4,2.4,70.0,2113.92
27.8,4.6,84.0,1460.16
26.6,1.4,91.0,2042.88
26.7,2.3,93.0,1984.8
26.7,1.5,93.0,1899.84
26.8,1.4,92.0,1752.48
26.7,1.1,91.0,1705.44
26.6,1.1,92.0,1680.48
26.5,1.6,93.0,1823.52
26.8,2.0,89.0,2197.92
27.2,1.2,89.0,2621.28
27.8,2.3,84.0,3135.36
28.5,3.0,78.0,3840.48
29.5,4.3,72.0,4455.36
29.8,2.5,73.0,4718.88
29.9,2.1,71.0,4706.4
30.2,3.3,72.0,4720.32
30.6,3.1,70.0,4666.56
29.7,3.9,76.0,4595.52
30.9,3.0,74.0,4673.28
30.2,2.4,75.0,4474.56
29.6,3.7,78.0,3091.2
29.1,5.0,81.0,2978.4
28.7,4.9,83.0,2781.6
27.7,3.8,87.0,2117.76
26.9,3.7,92.0,1592.64
27.0,2.7,89.0,2207.04
27.0,2.8,88.0,2130.72
27.0,3.5,86.0,2069.76
25.8,4.3,91.0,1968.48
25.2,3.9,91.0,1879.68
25.1,2.8,91.0,1862.88
25.1,2.5,91.0,1975.2
24.9,4.1,89.0,2321.28
24.9,2.9,89.0,3028.8
25.1,3.3,88.0,3204.96
25.2,2.3,87.0,3606.24
25.5,3.3,86.0,4288.32
26.2,3.1,82.0,4395.36
26.4,2.0,79.0,4595.04
26.6,2.8,80.0,4530.72
27.3,2.8,78.0,4537.92
27.0,2.7,79.0,4397.28
27.4,2.4,78.0,4319.52
27.9,2.7,72.0,4204.32
27.8,2.2,73.0,2957.28
27.3,3.1,79.0,2777.76
26.4,3.2,83.0,2609.76
25.8,2.4,84.0,2203.2
25.3,2.8,84.0,1660.32
24.8,3.0,87.0,2127.84
24.0,3.4,93.0,2081.28
24.0,1.8,94.0,1956.96
24.1,1.1,93.0,1867.2
24.2,1.5,94.0,1785.6
24.1,1.9,94.0,1788.96
24.0,1.4,95.0,1892.64
24.0,1.5,94.0,2157.12
24.1,2.0,94.0,2401.44
24.3,1.0,93.0,2754.72
24.5,1.5,93.0,3048.96
25.4,2.2,90.0,4195.68
26.6,1.8,85.0,4486.56
27.7,0.9,80.0,4442.4
29.0,1.4,73.0,4485.6
30.5,1.9,69.0,4460.16
30.7,1.5,68.0,4396.32
30.6,0.9,67.0,4357.92
30.5,1.0,67.0,4088.16
30.3,2.2,70.0,2815.2
29.6,2.2,71.0,2665.44
28.4,1.8,75.0,2520.48
27.6,1.3,77.0,1986.72
27.1,1.7,78.0,1382.88
26.6,1.8,78.0,1839.36
26.2,1.7,81.0,1724.64
25.9,1.0,81.0,1656.48
25.6,0.5,81.0,1489.44
25.3,0.9,85.0,1016.16
25.0,0.8,86.0,842.4
24.8,0.5,87.0,1002.24
24.6,0.9,88.0,1145.76
25.1,1.7,88.0,1380.48
26.3,0.6,84.0,2261.76
27.9,0.8,79.0,2588.16
29.4,1.0,72.0,3025.92
30.8,1.0,69.0,3157.92
31.8,1.2,63.0,2950.08
32.3,0.7,63.0,2913.6
33.5,1.3,56.0,2948.64
34.4,1.9,50.0,2881.92
35.0,1.8,48.0,2885.28
33.2,3.9,58.0,2926.56
32.1,2.7,61.0,3180.48
30.7,2.6,64.0,3018.24
30.1,2.6,64.0,2862.72
29.2,2.6,64.0,1993.92
28.5,2.2,59.0,1503.36
28.2,2.6,55.0,2084.16
27.9,3.5,54.0,2071.2
26.3,4.0,72.0,2000.16
24.9,0.7,79.0,1863.36
24.8,1.3,82.0,1751.04
24.8,0.6,80.0,1763.52
24.7,1.1,81.0,1925.28
24.9,1.2,81.0,2265.6
24.9,1.4,79.0,2830.56
25.6,0.9,77.0,3094.08
27.2,0.9,74.0,3536.64
28.0,1.4,65.0,4183.2
28.7,1.9,66.0,4236.0
29.7,1.4,63.0,4570.08
29.8,2.3,60.0,4526.4
29.9,3.8,66.0,4464.96
29.8,2.3,67.0,4394.4
28.7,2.4,78.0,4605.12
27.5,3.1,85.0,4317.6
27.8,2.1,81.0,2894.4
27.7,1.6,78.0,2711.52
27.3,2.4,78.0,2400.96
26.5,2.2,75.0,1917.12
26.0,1.8,75.0,1439.04
25.5,2.3,76.0,2057.28
25.1,2.9,77.0,2081.28
24.6,2.5,78.0,1992.96
24.2,2.4,79.0,1810.08
23.7,2.9,81.0,1719.84
23.6,2.4,79.0,1741.44
23.3,2.3,80.0,1894.56
23.3,2.7,78.0,2153.28
24.1,3.3,77.0,2281.92
24.6,2.8,76.0,2912.16
25.8,2.3,73.0,3433.44
26.5,2.1,69.0,4130.88
28.0,2.3,69.0,4521.6
28.4,2.9,66.0,4503.84
28.8,2.5,68.0,4523.52
29.3,1.4,66.0,4476.0
29.4,1.5,66.0,4357.92
